,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
n1,0.2740,0.2985,0.3178,0.3165,0.2884,0.2728,0.2023,0.1844,0.2451,0.3208,0.4433,0.4992,0.4956,0.4051,0.4101,0.3629,0.3802,0.4406,0.5069,0.5399,0.3518,0.1825,0.0947,0.0415,0.0281,0.0434,0.0907,0.0880,0.0433,0.0117,0.0045,0.0054,0.0082,0.0266,0.0343,0.0797,0.0838,0.0803,0.0274,0.0131,0.0258,0.1146,0.0574,0.0672,0.0328,0.0077,0.0079,0.0030
n2,0.2725,0.2954,0.3660,0.3346,0.2860,0.2481,0.2230,0.2301,0.2081,0.2717,0.3658,0.3763,0.2961,0.2760,0.2469,0.2026,0.2809,0.3378,0.3183,0.2872,0.2211,0.1794,0.0922,0.0416,0.0258,0.0475,0.0569,0.0439,0.0224,0.0073,0.0006,0.0008,0.0009,0.0037,0.0220,0.0341,0.0171,0.0266,0.0131,0.0180,0.0223,0.0490,0.0321,0.0167,0.0135,0.0022,0.0020,0.0007
n3,0.2512,0.2498,0.2756,0.2277,0.1862,0.1417,0.1030,0.1007,0.1481,0.1790,0.2468,0.2985,0.2768,0.3366,0.3526,0.3768,0.4356,0.4627,0.4906,0.4083,0.3752,0.1830,0.1157,0.1042,0.1440,0.1744,0.1121,0.1562,0.1306,0.1226,0.1582,0.2170,0.2312,0.2964,0.3650,0.3893,0.4361,0.5815,0.6895,0.4074,0.4327,0.5792,0.6130,0.5959,0.4677,0.3256,0.1391,0.1875
n4,0.2551,0.2592,0.2969,0.2741,0.2593,0.2140,0.1733,0.1759,0.2187,0.2230,0.2284,0.2092,0.1847,0.2169,0.2025,0.2030,0.3127,0.3271,0.3741,0.3219,0.3684,0.1857,0.1677,0.1646,0.1438,0.1396,0.1069,0.1674,0.0898,0.0315,0.0328,0.0497,0.0991,0.1235,0.1900,0.2300,0.2438,0.3400,0.3183,0.1292,0.1959,0.3184,0.3477,0.4680,0.4206,0.2455,0.2649,0.4070
n5,0.2652,0.2925,0.3057,0.2927,0.2796,0.2113,0.1423,0.1443,0.1730,0.2157,0.2798,0.3393,0.2768,0.2649,0.2931,0.3080,0.4211,0.4674,0.4302,0.4294,0.3698,0.2108,0.1451,0.0669,0.0864,0.1367,0.1870,0.1855,0.0478,0.0279,0.0108,0.0212,0.0437,0.0813,0.1260,0.2056,0.1895,0.1799,0.0821,0.0469,0.0677,0.0884,0.0460,0.0628,0.0292,0.0045,0.0041,0.0091
n6,0.2545,0.2396,0.2423,0.2273,0.1869,0.1153,0.0575,0.0727,0.0944,0.1271,0.1424,0.1720,0.1745,0.1834,0.1903,0.1674,0.2480,0.2766,0.3107,0.3503,0.2882,0.1499,0.0879,0.0605,0.0617,0.0794,0.1047,0.1386,0.0314,0.0122,0.0064,0.0062,0.0182,0.0380,0.0414,0.1092,0.0996,0.0847,0.0424,0.0111,0.0138,0.0249,0.0123,0.0226,0.0147,0.0022,0.0017,0.0086
n7,0.2425,0.2046,0.2113,0.1861,0.1528,0.1093,0.1072,0.0727,0.0845,0.1012,0.1177,0.1342,0.1199,0.1119,0.1272,0.1402,0.2082,0.2493,0.3278,0.3070,0.2678,0.1243,0.0667,0.0743,0.0406,0.0421,0.0265,0.0423,0.0182,0.0066,0.0092,0.0166,0.0446,0.0865,0.2076,0.2548,0.2615,0.3522,0.3788,0.3073,0.4078,0.5620,0.4638,0.5133,0.4346,0.1691,0.1233,0.1382
n8,0.2629,0.2769,0.3050,0.3200,0.2613,0.2072,0.2239,0.2098,0.2597,0.2629,0.2868,0.2873,0.3546,0.3657,0.3937,0.4045,0.5210,0.6609,0.7373,0.7365,0.6558,0.4884,0.4265,0.4004,0.3350,0.2654,0.1891,0.2186,0.1342,0.0733,0.0567,0.0886,0.1237,0.2715,0.3501,0.3811,0.3502,0.4149,0.5415,0.5828,0.6743,0.7311,0.5626,0.5504,0.4085,0.1580,0.0787,0.1063
n9,0.2490,0.2347,0.2498,0.2380,0.1900,0.1225,0.0849,0.0673,0.0771,0.0710,0.0970,0.1128,0.1425,0.1498,0.1788,0.1321,0.1990,0.1974,0.2537,0.2415,0.1810,0.0933,0.1069,0.1115,0.1018,0.0647,0.0697,0.1151,0.0399,0.0221,0.0183,0.0384,0.0776,0.2316,0.3098,0.4265,0.4392,0.5276,0.3689,0.2120,0.3136,0.4219,0.3309,0.3486,0.2743,0.1879,0.1140,0.1956
n10,0.2440,0.2212,0.2339,0.2234,0.1754,0.1029,0.0696,0.0599,0.0725,0.0826,0.1230,0.1446,0.1780,0.1677,0.1804,0.2018,0.2458,0.2626,0.3331,0.3463,0.3324,0.1868,0.1429,0.1440,0.1779,0.0960,0.1377,0.2003,0.1495,0.1139,0.0893,0.1620,0.2559,0.4440,0.5968,0.7251,0.7535,0.8230,0.7638,0.6401,0.6478,0.7333,0.8003,0.8108,0.7701,0.5462,0.5426,0.5691
