major,minor,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
s0,n1,0.2606,0.2693,0.2922,0.2426,0.2394,0.2020,0.1311,0.1438,0.2068,0.1758,0.3052,0.3367,0.3461,0.3819,0.3395,0.3703,0.3432,0.4731,0.4983,0.4491,0.3265,0.2436,0.1686,0.1565,0.1111,0.0874,0.1283,0.2016,0.1912,0.2834,0.2830,0.1349,0.1516,0.1711,0.1653,0.2127,0.1744,0.1562,0.1611,0.1651,0.2575,0.3892,0.3526,0.4015,0.3789,0.2443,0.1730,0.1265
s0,n2,0.2618,0.2707,0.3185,0.2755,0.2606,0.1765,0.1634,0.2174,0.3177,0.2839,0.3366,0.4178,0.4357,0.3899,0.3428,0.3210,0.3659,0.5028,0.5207,0.5538,0.4747,0.3895,0.3100,0.3345,0.3678,0.4299,0.4156,0.5052,0.4894,0.4629,0.3682,0.2687,0.2273,0.4861,0.3280,0.5017,0.4646,0.5180,0.4332,0.3955,0.4758,0.4511,0.4573,0.4160,0.4572,0.3421,0.2614,0.1777
s0,n3,0.2579,0.2638,0.2874,0.2540,0.2470,0.1661,0.1410,0.1522,0.2133,0.3107,0.3912,0.4679,0.5243,0.5482,0.5263,0.5966,0.6157,0.7035,0.8492,0.8124,0.7781,0.8127,0.7806,0.7435,0.7461,0.7851,0.8468,0.8252,0.7505,0.7747,0.7621,0.7273,0.6715,0.8089,0.7977,0.8567,0.8354,0.8536,0.8723,0.7505,0.8886,0.8633,0.8731,0.8875,0.8998,0.8783,0.8337,0.6947
s0,n4,0.2560,0.2541,0.2857,0.2918,0.2830,0.2081,0.1630,0.1790,0.2199,0.2657,0.3912,0.3812,0.3660,0.4571,0.3788,0.4477,0.4481,0.3896,0.4617,0.5455,0.4187,0.3993,0.2488,0.2149,0.1675,0.2638,0.2875,0.2991,0.1527,0.1989,0.2359,0.2241,0.1841,0.4205,0.4294,0.5610,0.7007,0.6683,0.6411,0.5669,0.7631,0.7082,0.7528,0.7135,0.6683,0.6617,0.5778,0.4760
s0,n5,0.2593,0.2473,0.2745,0.2483,0.2447,0.1589,0.0985,0.0911,0.1304,0.1585,0.2358,0.2652,0.2494,0.2340,0.2190,0.2349,0.2329,0.2586,0.3192,0.3510,0.2859,0.1853,0.1362,0.1447,0.1854,0.2141,0.2725,0.2698,0.3237,0.3147,0.2794,0.1573,0.1942,0.3123,0.3204,0.5088,0.6438,0.5924,0.7064,0.6583,0.7954,0.8269,0.7862,0.7866,0.7836,0.7741,0.7038,0.6846
s0,n6,0.2638,0.2610,0.2778,0.2373,0.2197,0.1599,0.0764,0.0669,0.0961,0.1197,0.1697,0.2019,0.1508,0.1723,0.1897,0.1671,0.2069,0.3006,0.4122,0.4014,0.2960,0.1784,0.1185,0.1416,0.2133,0.2565,0.2531,0.2607,0.2722,0.2344,0.2230,0.1451,0.1496,0.3120,0.3844,0.5517,0.6019,0.4552,0.4132,0.6058,0.7570,0.7830,0.7739,0.7519,0.6448,0.5780,0.6571,0.5375
s0,n7,0.2607,0.2569,0.2700,0.2391,0.2062,0.1509,0.0972,0.1030,0.1252,0.1842,0.2563,0.2515,0.3151,0.3603,0.3641,0.4170,0.4894,0.4382,0.5070,0.5999,0.4110,0.4058,0.3020,0.3328,0.2376,0.3039,0.3681,0.4520,0.2539,0.1952,0.2056,0.1742,0.1816,0.3071,0.2751,0.3562,0.4230,0.3535,0.2603,0.2688,0.3767,0.4618,0.3948,0.3736,0.3074,0.3253,0.2907,0.1436
s0,n8,0.2706,0.2803,0.3192,0.2955,0.2617,0.2012,0.1242,0.1277,0.1238,0.1941,0.3062,0.3772,0.4266,0.4531,0.4517,0.4469,0.4328,0.4801,0.5167,0.5237,0.3685,0.4283,0.3033,0.3140,0.2248,0.3826,0.5154,0.5131,0.3815,0.3363,0.3034,0.2225,0.2821,0.4361,0.5201,0.5445,0.5980,0.6117,0.5649,0.5221,0.5317,0.6322,0.6764,0.6482,0.5308,0.5504,0.4836,0.3234
s0,n9,0.2561,0.2340,0.2675,0.1992,0.1836,0.1268,0.0660,0.0704,0.0849,0.1302,0.1515,0.2211,0.2049,0.1802,0.1949,0.1960,0.1780,0.2592,0.2555,0.2972,0.1108,0.1330,0.0631,0.0588,0.0428,0.0528,0.1007,0.1029,0.0721,0.0626,0.0634,0.0489,0.0435,0.0911,0.2137,0.2694,0.3461,0.3146,0.3175,0.2863,0.3293,0.4114,0.4183,0.4448,0.3922,0.4249,0.4385,0.1816
s0,n10,0.2531,0.2366,0.2671,0.2259,0.1724,0.1312,0.0606,0.0539,0.0618,0.1139,0.1717,0.2694,0.2021,0.1517,0.1758,0.1619,0.1751,0.2274,0.2978,0.2798,0.1026,0.0711,0.0303,0.0301,0.0226,0.0360,0.0451,0.0661,0.0417,0.0280,0.0135,0.0052,0.0124,0.0199,0.0533,0.0912,0.1316,0.1179,0.2529,0.3077,0.4555,0.7021,0.6776,0.7958,0.6487,0.6199,0.5570,0.3221
s0,n11,0.2596,0.2642,0.3198,0.2858,0.2682,0.2379,0.1993,0.2273,0.2859,0.3451,0.4168,0.5021,0.4852,0.3932,0.4129,0.3041,0.3749,0.5171,0.5329,0.5848,0.3647,0.3169,0.2423,0.3910,0.3572,0.4031,0.4359,0.5943,0.4436,0.5231,0.5397,0.5795,0.6455,0.7342,0.7889,0.8660,0.8526,0.8195,0.9071,0.9113,0.9422,0.9897,0.9946,0.9989,0.9956,0.9950,0.9736,0.8985
s0,n12,0.2584,0.2516,0.2549,0.2127,0.1915,0.1272,0.0870,0.0910,0.1035,0.1801,0.2512,0.3160,0.3383,0.3312,0.3234,0.2614,0.3601,0.5663,0.5519,0.5994,0.4307,0.4375,0.3837,0.3497,0.3451,0.4224,0.4553,0.4877,0.3957,0.3936,0.4366,0.2589,0.3610,0.3693,0.3889,0.6047,0.5966,0.5174,0.3864,0.4347,0.5184,0.7381,0.7300,0.8224,0.8090,0.7294,0.7101,0.6636
s0,n13,0.2628,0.2739,0.2933,0.2453,0.2582,0.1882,0.1410,0.1776,0.2503,0.3474,0.4192,0.5491,0.5697,0.5533,0.4915,0.5056,0.5545,0.7188,0.7721,0.7645,0.6243,0.6447,0.6688,0.6746,0.5906,0.6379,0.6522,0.6514,0.4978,0.4275,0.4456,0.3151,0.3958,0.3738,0.4034,0.5111,0.4522,0.4309,0.4648,0.5307,0.6454,0.7424,0.8505,0.9255,0.9032,0.8665,0.9123,0.8198
s0,n14,0.2505,0.2307,0.2421,0.1880,0.1546,0.1051,0.0562,0.0748,0.1196,0.1783,0.2529,0.3356,0.2903,0.2117,0.2011,0.1305,0.1564,0.2575,0.3188,0.3039,0.1342,0.1716,0.0979,0.0997,0.1348,0.1459,0.1854,0.2134,0.1139,0.0907,0.0535,0.0303,0.0471,0.0556,0.1517,0.2351,0.2511,0.2520,0.4018,0.4703,0.6135,0.7675,0.7149,0.8651,0.7631,0.7310,0.7598,0.5200
